Statistical profiling result from isolate-0x130008000-64699-v8.log, (39114 ticks, 872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectDatabaseEntityLoader.js:31:58
      3    0.0%    0.0%  JS: *wasm-function[20]
      3    0.0%    0.0%  JS: *transformRelationIds /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:200:25
      3    0.0%    0.0%  JS: *storeEmbedding file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/storage/repositories/EmbeddingRepository.js:43:25
      3    0.0%    0.0%  JS: *skipTrivia /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:11760:20
      3    0.0%    0.0%  JS: *scanTemplateAndSetTokenValue /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:12422:40
      3    0.0%    0.0%  JS: *scanJsxToken /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:14310:24
      3    0.0%    0.0%  JS: *scanJsDocToken /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:14417:26
      3    0.0%    0.0%  JS: *scanIdentifier /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:13259:26
      3    0.0%    0.0%  JS: *propagateChildFlags /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:28997:29
      3    0.0%    0.0%  JS: *parseLiteralLikeNode /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:34689:32
